Date,TradeStat,Sector,Measure,Value
1998-01-01,A,UHR,WMF,710.28188327
1998-01-01,A,UHR,N,5.5
1998-01-01,A,UHR,R,1.9
1998-01-01,A,PI,WMF,505.32627582
1998-01-01,A,PI,N,9.0
1998-01-01,A,PI,R,10.9
1998-01-01,A,MET,WMF,801.33027394
1998-01-01,A,MET,N,14.7
1998-01-01,A,MET,R,15.0
1998-01-01,A,FZ,WMF,242.94561262
1998-01-01,A,FZ,N,46.3
1998-01-01,A,FZ,R,40.3
1998-01-01,A,TBS,WMF,339.16442873
1998-01-01,A,TBS,N,3.9
1998-01-01,A,TBS,R,4.9
1998-01-01,H,GT,WMF,-325.4862527
1998-02-01,E,GT,WMF,8687.57582934
1998-02-01,E,GT,N,2.7
1998-02-01,E,GT,R,5.7
1998-02-01,E,CHEM,WMF,1506.75371204
1998-02-01,E,CHEM,N,17.3
1998-02-01,E,CHEM,R,13.1
1998-02-01,E,ME,WMF,1962.35681637
1998-02-01,E,ME,N,4.3
1998-02-01,E,ME,R,11.5
1998-02-01,E,UHR,WMF,110.15486495
1998-02-01,E,UHR,N,17.5
1998-02-01,E,UHR,R,11.7
1998-02-01,E,PI,WMF,288.75429551
1998-02-01,E,PI,N,6.2
1998-02-01,E,PI,R,8.7
1998-02-01,E,MET,WMF,818.29092214
1998-02-01,E,MET,N,15.8
1998-02-01,E,MET,R,18.0
1998-02-01,E,FZ,WMF,797.84978194
1998-02-01,E,FZ,N,-17.3
1998-02-01,E,FZ,R,-14.2
1998-02-01,E,TBS,WMF,705.09560499
1998-02-01,E,TBS,N,-1.3
1998-02-01,E,TBS,R,-0.4
1998-02-01,A,GT,WMF,9052.60167126
1998-02-01,A,GT,N,9.9
1998-02-01,A,GT,R,8.1
1998-02-01,A,CHEM,WMF,2731.76972897
1998-02-01,A,CHEM,N,19.8
1998-02-01,A,CHEM,R,11.3
1998-02-01,A,ME,WMF,2636.00218049
1998-02-01,A,ME,N,7.4
1998-02-01,A,ME,R,10.1
1998-02-01,A,UHR,WMF,727.4498076
1998-02-01,A,UHR,N,6.0
1998-02-01,A,UHR,R,2.0
1998-02-01,A,PI,WMF,521.5794873
1998-02-01,A,PI,N,13.5
1998-02-01,A,PI,R,13.5
1998-02-01,A,MET,WMF,806.90444855
1998-02-01,A,MET,N,7.5
1998-02-01,A,MET,R,8.3
1998-02-01,A,FZ,WMF,223.20972521
1998-02-01,A,FZ,N,-11.8
1998-02-01,A,FZ,R,-19.3
1998-02-01,A,TBS,WMF,338.84598668
1998-02-01,A,TBS,N,2.8
1998-02-01,A,TBS,R,4.2
1998-02-01,H,GT,WMF,365.02584192
1998-03-01,E,GT,WMF,8694.52317306
1998-03-01,E,GT,N,3.4
1998-03-01,E,GT,R,4.0
1998-03-01,E,CHEM,WMF,1423.06624769
1998-03-01,E,CHEM,N,2.9
1998-03-01,E,CHEM,R,-7.3
1998-03-01,E,ME,WMF,2037.02397884
1998-03-01,E,ME,N,8.8
1998-03-01,E,ME,R,11.6
1998-03-01,E,UHR,WMF,111.70023388
1998-03-01,E,UHR,N,14.0
1998-03-01,E,UHR,R,17.2
1998-03-01,E,PI,WMF,295.59920572
1998-03-01,E,PI,N,9.0
1998-03-01,E,PI,R,12.6
1998-03-01,E,MET,WMF,817.41317585
1998-03-01,E,MET,N,14.9
1998-03-01,E,MET,R,16.3
1998-03-01,E,FZ,WMF,928.88604702
1998-03-01,E,FZ,N,8.6
1998-03-01,E,FZ,R,9.8
1998-03-01,E,TBS,WMF,702.85106287
1998-03-01,E,TBS,N,-0.8
1998-03-01,E,TBS,R,-1.0
1998-03-01,A,GT,WMF,9031.87872941
1998-03-01,A,GT,N,7.0
1998-03-01,A,GT,R,6.0
1998-03-01,A,CHEM,WMF,2654.04748925
1998-03-01,A,CHEM,N,13.2
1998-03-01,A,CHEM,R,12.4
1998-03-01,A,ME,WMF,2694.2766907
1998-03-01,A,ME,N,5.7
1998-03-01,A,ME,R,7.3
1998-03-01,A,UHR,WMF,743.22484981
1998-03-01,A,UHR,N,-2.4
1998-03-01,A,UHR,R,-10.3
