location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220118T1200,5.630245,0.0,11.792404,58.736267
20220118T1300,5.9302454,0.0,11.384198,55.304832
20220118T1400,6.0602455,0.0,11.246759,50.194427
20220118T1500,5.610245,0.0,7.145796,49.085617
20220118T1600,3.8502455,0.0,7.24486,63.43495
20220118T1700,3.1402454,0.0,5.5887027,75.06858
20220118T1800,2.6002455,0.0,5.2416787,74.054596
20220118T1900,1.7802454,0.0,5.506941,78.69006
20220118T2000,1.2102454,0.0,4.0249224,100.30484
20220118T2100,1.3902454,0.0,2.7416782,113.19859
20220118T2200,0.9002454,0.0,4.6102495,141.34018
20220118T2300,0.9302454,0.0,6.4096174,128.15723
20220119T0000,1.2102454,0.0,5.1165614,140.71059
20220119T0100,0.5902454,0.0,5.00128,149.74356
20220119T0200,0.3202454,0.0,5.815978,158.1986
20220119T0300,-0.029754579,0.0,6.0347,162.64597
20220119T0400,0.2802454,0.0,5.95906,154.98311
20220119T0500,0.020245433,0.0,5.6920996,161.56505
20220119T0600,0.2102454,0.0,5.2416787,164.0546
20220119T0700,-0.04975462,0.0,4.73506,171.25385
20220119T0800,-0.1397546,0.0,5.3999996,180.0
20220119T0900,1.2902454,0.0,6.162207,186.70984
20220119T1000,2.3202453,0.0,6.9247384,207.89728
20220119T1100,2.8302455,0.0,10.009036,217.69424
20220119T1200,3.3102455,0.0,10.691453,225.0
20220119T1300,3.6002455,0.0,12.783802,237.65256
20220119T1400,3.4302454,0.0,13.527572,244.79889
