"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"2001","S.2","P.71c","143501.975179716","A","MCHF"
"2001","S.2","P.71c","143071.709949896","A","Y"
"2001","S.2","P.71c","2.25879649704126","A","AC"
"2001","S.2","P.71c","1.95219162612701","A","ACPP"
"2001","S.2","P.72","60628.653127875","A","MCHF"
"2001","S.2","P.72","61346.8106130364","A","Y"
"2001","S.2","P.72","-0.841285078714506","A","AC"
"2001","S.2","P.72","0.333268035462568","A","ACPP"
"2001","S.2","P.6","242798.774041022","A","MCHF"
"2001","S.2","P.6","242793.389547081","A","Y"
"2001","S.2","P.6","0.102789800687144","A","AC"
"2001","S.2","P.6","0.10056984357537","A","ACPP"
"2001","S.2","P.61","163065.745030126","A","MCHF"
"2001","S.2","P.61","163090.152069946","A","Y"
"2001","S.2","P.61","1.47691388720858","A","AC"
"2001","S.2","P.61","1.49210255284523","A","ACPP"
"2001","S.2","P.61c","141409.835592126","A","MCHF"
"2001","S.2","P.61c","140954.418094098","A","Y"
"2001","S.2","P.61c","2.26961993811267","A","AC"
"2001","S.2","P.61c","1.9402554760053","A","ACPP"
"2001","S.2","P.62","79733.029010896","A","MCHF"
"2001","S.2","P.62","79703.237477135","A","Y"
"2001","S.2","P.62","-2.59473598712239","A","AC"
"2001","S.2","P.62","-2.63113059356515","A","ACPP"
"2002","S.1","B.1*b","482077.197007522","A","MCHF"
"2002","S.1","B.1*b","483282.812816116","A","Y"
"2002","S.1","B.1*b","-0.322498380909026","A","AC"
"2002","S.1","B.1*b","-0.073217202584984","A","ACPP"
"2002","S.1","P.3","329970.407467043","A","MCHF"
"2002","S.1","P.3","330670.87367005","A","Y"
"2002","S.1","P.3","0.423286368131272","A","AC"
